,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,newton stewart,GB,,,,,,,
1,georgetown,MY,,,,,,,
2,witu,KE,,,,,,,
3,victoria,HK,,,,,,,
4,saskylakh,RU,,,,,,,
5,chokurdakh,RU,,,,,,,
6,mataura,NZ,,,,,,,
7,albany,US,,,,,,,
8,taltal,CL,,,,,,,
9,mercedes,AR,,,,,,,
10,henties bay,NA,,,,,,,
11,olafsvik,IS,,,,,,,
12,pevek,RU,,,,,,,
13,punta arenas,CL,,,,,,,
14,bilma,NE,,,,,,,
15,umm kaddadah,SD,,,,,,,
16,kodiak,US,,,,,,,
17,brigham city,US,,,,,,,
18,soe,ID,,,,,,,
19,ngaoundere,CM,,,,,,,
20,meadow lake,US,,,,,,,
21,ushuaia,AR,,,,,,,
22,yumen,CN,,,,,,,
23,shelburne,CA,,,,,,,
24,avarua,CK,,,,,,,
25,bluff,NZ,,,,,,,
26,bereda,ES,,,,,,,
27,bilibino,RU,,,,,,,
28,cape town,ZA,,,,,,,
29,port lincoln,AU,,,,,,,
30,new norfolk,AU,,,,,,,
31,mys shmidta,,,,,,,,
32,klaksvik,FO,,,,,,,
33,nikolskoye,RU,,,,,,,
34,ginda,IN,,,,,,,
35,hobart,AU,,,,,,,
36,champagnole,FR,,,,,,,
37,jamestown,US,,,,,,,
38,barrow,US,,,,,,,
39,carnarvon,AU,,,,,,,
40,port elizabeth,ZA,,,,,,,
41,ahipara,NZ,,,,,,,
42,verkhnevilyuysk,RU,,,,,,,
43,san benito,US,,,,,,,
44,kapaa,US,,,,,,,
45,busselton,AU,,,,,,,
46,belushya guba,,,,,,,,
47,havre-saint-pierre,CA,,,,,,,
48,yerbogachen,RU,,,,,,,
49,lebu,CL,,,,,,,
50,muravlenko,RU,,,,,,,
51,akdepe,TM,,,,,,,
52,port blair,IN,,,,,,,
53,puerto ayora,EC,,,,,,,
54,kahului,US,,,,,,,
55,caravelas,BR,,,,,,,
56,rehoboth,NA,,,,,,,
57,airai,TL,,,,,,,
58,cockburn town,TC,,,,,,,
59,port alfred,ZA,,,,,,,
60,vaini,TO,,,,,,,
61,greencastle,US,,,,,,,
62,hermanus,ZA,,,,,,,
63,attawapiskat,,,,,,,,
64,imbituba,BR,,,,,,,
65,bredasdorp,ZA,,,,,,,
66,rikitea,PF,,,,,,,
67,upernavik,GL,,,,,,,
68,scranton,US,,,,,,,
69,castro,BR,,,,,,,
70,nara,JP,,,,,,,
71,necochea,AR,,,,,,,
72,mehamn,NO,,,,,,,
73,paamiut,GL,,,,,,,
74,tasiilaq,GL,,,,,,,
75,matagami,CA,,,,,,,
76,ribeira grande,PT,,,,,,,
77,gizo,SB,,,,,,,
78,dagestanskiye ogni,RU,,,,,,,
79,isangel,VU,,,,,,,
80,great falls,US,,,,,,,
81,faya,SA,,,,,,,
82,san jose,US,,,,,,,
83,kaitangata,NZ,,,,,,,
84,saint-felicien,CA,,,,,,,
85,uspenka,UA,,,,,,,
86,la argentina,CO,,,,,,,
87,illoqqortoormiut,,,,,,,,
88,kavaratti,IN,,,,,,,
89,gigmoto,PH,,,,,,,
90,ondorhaan,,,,,,,,
91,vardo,NO,,,,,,,
92,dikson,RU,,,,,,,
93,marawi,PH,,,,,,,
94,shingu,JP,,,,,,,
95,barentsburg,,,,,,,,
96,itajobi,BR,,,,,,,
97,tsihombe,,,,,,,,
98,ilulissat,GL,,,,,,,
99,miguel hidalgo,MX,,,,,,,
100,kununurra,AU,,,,,,,
101,hasaki,JP,,,,,,,
102,samana,DO,,,,,,,
103,husavik,IS,,,,,,,
104,yar-sale,RU,,,,,,,
105,oktyabrskiy,RU,,,,,,,
106,hithadhoo,MV,,,,,,,
107,la ronge,CA,,,,,,,
108,butaritari,KI,,,,,,,
109,jaisalmer,IN,,,,,,,
110,talnakh,RU,,,,,,,
111,smolenka,RU,,,,,,,
112,nome,US,,,,,,,
113,severo-kurilsk,RU,,,,,,,
114,fairbanks,US,,,,,,,
115,tahoua,NE,,,,,,,
116,souillac,MU,,,,,,,
117,sao jose da coroa grande,BR,,,,,,,
118,mwene-ditu,CD,,,,,,,
119,lambare,PY,,,,,,,
120,torbay,CA,,,,,,,
121,alofi,NU,,,,,,,
122,onokhino,RU,,,,,,,
123,almaty,KZ,,,,,,,
124,san patricio,US,,,,,,,
125,cabo san lucas,MX,,,,,,,
126,qaanaaq,GL,,,,,,,
127,tazovskiy,RU,,,,,,,
128,saint-philippe,RE,,,,,,,
129,bac lieu,VN,,,,,,,
130,taolanaro,,,,,,,,
131,lodja,CD,,,,,,,
132,faanui,PF,,,,,,,
133,mar del plata,AR,,,,,,,
134,acara,BR,,,,,,,
135,tiksi,RU,,,,,,,
136,bemidji,US,,,,,,,
137,trairi,BR,,,,,,,
138,azimur,,,,,,,,
139,comodoro rivadavia,AR,,,,,,,
140,mackenzie,CA,,,,,,,
141,sao filipe,CV,,,,,,,
142,sinnamary,GF,,,,,,,
143,okha,RU,,,,,,,
144,port-cartier,CA,,,,,,,
145,nelson bay,AU,,,,,,,
146,boston,US,,,,,,,
147,omsukchan,RU,,,,,,,
148,port-gentil,GA,,,,,,,
149,qasigiannguit,GL,,,,,,,
150,cururupu,BR,,,,,,,
151,grand gaube,MU,,,,,,,
152,mnogovershinnyy,RU,,,,,,,
153,richards bay,ZA,,,,,,,
154,werda,BW,,,,,,,
155,arraial do cabo,BR,,,,,,,
156,samarai,PG,,,,,,,
157,atuona,PF,,,,,,,
158,hilo,US,,,,,,,
159,norsup,VU,,,,,,,
160,manjeshwar,IN,,,,,,,
161,tricase,IT,,,,,,,
162,ternate,ID,,,,,,,
163,sentyabrskiy,,,,,,,,
164,yellowknife,CA,,,,,,,
165,hofn,IS,,,,,,,
166,poum,NC,,,,,,,
167,sitka,US,,,,,,,
168,buckingham,GB,,,,,,,
169,enumclaw,US,,,,,,,
170,east london,ZA,,,,,,,
171,balakhninskiy,RU,,,,,,,
172,homer,US,,,,,,,
173,roald,NO,,,,,,,
174,bousso,TD,,,,,,,
175,coruripe,BR,,,,,,,
176,saleaula,,,,,,,,
177,palabuhanratu,,,,,,,,
178,vila velha,BR,,,,,,,
179,chuy,UY,,,,,,,
180,cordoba,AR,,,,,,,
181,bethel,US,,,,,,,
182,thompson,CA,,,,,,,
183,port-de-paix,,,,,,,,
184,avera,US,,,,,,,
185,kysyl-syr,RU,,,,,,,
186,surt,LY,,,,,,,
187,muros,ES,,,,,,,
188,bonthe,SL,,,,,,,
189,jibuti,DJ,,,,,,,
190,tuktoyaktuk,CA,,,,,,,
191,westport,US,,,,,,,
192,sao joao da barra,BR,,,,,,,
193,cabinda,AO,,,,,,,
194,waipawa,NZ,,,,,,,
195,de-kastri,RU,,,,,,,
196,gat,IL,,,,,,,
197,glinka,RU,,,,,,,
198,san carlos de bariloche,AR,,,,,,,
199,khon kaen,TH,,,,,,,
200,taseyevo,RU,,,,,,,
201,ukiah,US,,,,,,,
202,bu salim,,,,,,,,
203,tura,IN,,,,,,,
204,zorritos,PE,,,,,,,
205,solovetskiy,,,,,,,,
206,samusu,,,,,,,,
207,chongwe,ZM,,,,,,,
208,tabou,CI,,,,,,,
209,komsomolskiy,UZ,,,,,,,
210,hobyo,SO,,,,,,,
211,andapa,MG,,,,,,,
212,adrar,MR,,,,,,,
213,damietta,EG,,,,,,,
214,andenes,NO,,,,,,,
215,hambantota,LK,,,,,,,
216,hervey bay,AU,,,,,,,
217,margate,GB,,,,,,,
218,manzhouli,CN,,,,,,,
219,totness,SR,,,,,,,
220,basco,PH,,,,,,,
221,esperance,AU,,,,,,,
222,cidreira,BR,,,,,,,
223,hovd,MN,,,,,,,
224,sorvag,,,,,,,,
225,leningradskiy,RU,,,,,,,
226,yarmouth,US,,,,,,,
227,constitucion,CL,,,,,,,
228,lompoc,US,,,,,,,
229,saint-joseph,RE,,,,,,,
230,christchurch,NZ,,,,,,,
231,salalah,OM,,,,,,,
232,beloha,MG,,,,,,,
233,aklavik,CA,,,,,,,
234,ornskoldsvik,SE,,,,,,,
235,baiyin,CN,,,,,,,
236,sendafa,ET,,,,,,,
237,laguna,US,,,,,,,
238,kantang,TH,,,,,,,
239,saint-pierre,RE,,,,,,,
240,marv dasht,,,,,,,,
241,ponta do sol,PT,,,,,,,
242,sechura,PE,,,,,,,
243,bandarbeyla,SO,,,,,,,
244,hualmay,PE,,,,,,,
245,kuytun,RU,,,,,,,
246,lingao,CN,,,,,,,
247,mumford,GH,,,,,,,
248,anzio,IT,,,,,,,
249,norman wells,CA,,,,,,,
250,magadan,RU,,,,,,,
251,vila,PT,,,,,,,
252,hihifo,,,,,,,,
253,uray,RU,,,,,,,
254,tombouctou,ML,,,,,,,
255,ancud,CL,,,,,,,
256,west wendover,US,,,,,,,
257,rawson,AR,,,,,,,
258,tessalit,ML,,,,,,,
259,mugur-aksy,RU,,,,,,,
260,ibra,OM,,,,,,,
261,dudinka,RU,,,,,,,
262,namibe,AO,,,,,,,
263,juanjui,PE,,,,,,,
264,shchelyayur,,,,,,,,
265,uyemskiy,RU,,,,,,,
266,saint george,US,,,,,,,
267,lavrentiya,RU,,,,,,,
268,srednekolymsk,RU,,,,,,,
269,molo,KE,,,,,,,
270,manacapuru,BR,,,,,,,
271,bam,IR,,,,,,,
272,horta,PT,,,,,,,
273,calvinia,ZA,,,,,,,
274,egvekinot,RU,,,,,,,
275,tautira,PF,,,,,,,
276,batu,ID,,,,,,,
277,roma,US,,,,,,,
278,perth,AU,,,,,,,
279,makakilo city,US,,,,,,,
280,costinesti,RO,,,,,,,
281,tokmak,UA,,,,,,,
282,grand river south east,,,,,,,,
283,burgos,ES,,,,,,,
284,amderma,,,,,,,,
285,zhigansk,RU,,,,,,,
286,nizhneyansk,,,,,,,,
287,bend,US,,,,,,,
288,ha giang,VN,,,,,,,
289,oriximina,BR,,,,,,,
290,ngukurr,,,,,,,,
291,marfino,RU,,,,,,,
292,mahebourg,MU,,,,,,,
293,brae,GB,,,,,,,
294,vicksburg,US,,,,,,,
295,naranjal,EC,,,,,,,
296,nioro,GM,,,,,,,
297,alexandria,EG,,,,,,,
298,gornopravdinsk,RU,,,,,,,
299,sinegorye,RU,,,,,,,
300,kirakira,SB,,,,,,,
301,kizilskoye,RU,,,,,,,
302,kalmunai,LK,,,,,,,
303,te anau,NZ,,,,,,,
304,seoul,KR,,,,,,,
305,qunduz,AF,,,,,,,
306,dabakala,CI,,,,,,,
307,sol-iletsk,RU,,,,,,,
308,praia,CV,,,,,,,
309,constantine,DZ,,,,,,,
310,juneau,US,,,,,,,
311,nova ushytsya,UA,,,,,,,
312,acapulco,MX,,,,,,,
313,guerrero negro,MX,,,,,,,
314,bambanglipuro,ID,,,,,,,
315,russell,US,,,,,,,
316,dwarka,IN,,,,,,,
317,mpika,ZM,,,,,,,
318,mahadday weyne,,,,,,,,
319,kastamonu,TR,,,,,,,
320,antofagasta,CL,,,,,,,
321,aflu,,,,,,,,
322,katsuura,JP,,,,,,,
323,skagastrond,,,,,,,,
324,porto novo,BJ,,,,,,,
325,mafinga,TZ,,,,,,,
326,nhulunbuy,AU,,,,,,,
327,pryazha,RU,,,,,,,
328,baykit,RU,,,,,,,
329,iqaluit,CA,,,,,,,
330,sibu,MY,,,,,,,
331,yalvac,TR,,,,,,,
332,kaihua,CN,,,,,,,
333,cayenne,GF,,,,,,,
334,moree,AU,,,,,,,
335,riyadh,SA,,,,,,,
336,college,US,,,,,,,
337,calbuco,CL,,,,,,,
338,morehead,US,,,,,,,
339,kamenskoye,,,,,,,,
340,batemans bay,AU,,,,,,,
341,san cristobal,VE,,,,,,,
342,hay river,CA,,,,,,,
343,giyani,ZA,,,,,,,
344,armeria,MX,,,,,,,
345,quimper,FR,,,,,,,
346,jujuy,,,,,,,,
347,djambala,CG,,,,,,,
348,weligama,LK,,,,,,,
349,lobau,DE,,,,,,,
350,khatanga,RU,,,,,,,
351,provideniya,RU,,,,,,,
352,puerto escondido,MX,,,,,,,
353,labuhan,ID,,,,,,,
354,greenville,US,,,,,,,
355,ballina,AU,,,,,,,
356,kawalu,ID,,,,,,,
357,puro,PH,,,,,,,
358,majene,ID,,,,,,,
359,vilhena,BR,,,,,,,
360,solnechnyy,RU,,,,,,,
361,kiyevskoye,RU,,,,,,,
362,venice,US,,,,,,,
363,aykhal,RU,,,,,,,
364,verkhoyansk,RU,,,,,,,
365,maceio,BR,,,,,,,
366,kota kinabalu,MY,,,,,,,
367,luau,AO,,,,,,,
368,nuevo san juan parangaricutiro,MX,,,,,,,
369,marcona,,,,,,,,
370,tenenkou,ML,,,,,,,
371,port hardy,CA,,,,,,,
372,ketchikan,US,,,,,,,
373,roebourne,AU,,,,,,,
374,vao,NC,,,,,,,
375,sedro-woolley,US,,,,,,,
376,fortuna,US,,,,,,,
377,cheuskiny,,,,,,,,
378,laurel,US,,,,,,,
379,ronne,DK,,,,,,,
380,dicabisagan,PH,,,,,,,
381,buraydah,SA,,,,,,,
382,dingle,PH,,,,,,,
383,negombo,LK,,,,,,,
384,bambous virieux,MU,,,,,,,
385,luderitz,NA,,,,,,,
386,sikasso,ML,,,,,,,
387,luwuk,ID,,,,,,,
388,ambilobe,MG,,,,,,,
389,iranshahr,IR,,,,,,,
390,clyde river,CA,,,,,,,
391,pangnirtung,CA,,,,,,,
392,kupang,ID,,,,,,,
393,northampton,US,,,,,,,
394,shimoda,JP,,,,,,,
395,bud,US,,,,,,,
396,griffith,US,,,,,,,
397,ayan,RU,,,,,,,
398,languyan,PH,,,,,,,
399,teguldet,RU,,,,,,,
400,karaul,,,,,,,,
401,xinyang,CN,,,,,,,
402,oeiras,BR,,,,,,,
403,kalabo,ZM,,,,,,,
404,mangan,IN,,,,,,,
405,hienghene,NC,,,,,,,
406,aswan,EG,,,,,,,
407,vestmannaeyjar,IS,,,,,,,
408,salinopolis,BR,,,,,,,
409,louisbourg,,,,,,,,
410,mount gambier,AU,,,,,,,
411,ambodifototra,,,,,,,,
412,kualakapuas,ID,,,,,,,
413,mvuma,ZW,,,,,,,
414,shache,CN,,,,,,,
415,zapolyarnyy,RU,,,,,,,
416,vrina,,,,,,,,
417,coahuayana,MX,,,,,,,
418,pisco,PE,,,,,,,
419,cherskiy,RU,,,,,,,
420,corner brook,CA,,,,,,,
421,sivaki,RU,,,,,,,
422,amahai,ID,,,,,,,
423,kruisfontein,ZA,,,,,,,
424,palmer,US,,,,,,,
425,hamilton,US,,,,,,,
426,hillsborough,US,,,,,,,
427,maralal,KE,,,,,,,
428,grindavik,IS,,,,,,,
429,puerto leguizamo,CO,,,,,,,
430,camacari,BR,,,,,,,
431,tambacounda,SN,,,,,,,
432,eirunepe,BR,,,,,,,
433,kyabram,AU,,,,,,,
434,aloleng,PH,,,,,,,
435,pinsk,BY,,,,,,,
436,touros,BR,,,,,,,
437,talara,PE,,,,,,,
438,lisburn,GB,,,,,,,
439,flin flon,CA,,,,,,,
440,kimbe,PG,,,,,,,
441,alice springs,AU,,,,,,,
442,bocas del toro,PA,,,,,,,
443,kavieng,PG,,,,,,,
444,ambon,ID,,,,,,,
445,geraldton,AU,,,,,,,
446,rio grande,BR,,,,,,,
447,buqayq,,,,,,,,
448,yuzhne,UA,,,,,,,
449,ostersund,SE,,,,,,,
450,itarema,BR,,,,,,,
451,ust-tsilma,RU,,,,,,,
452,paradwip,,,,,,,,
453,itoman,JP,,,,,,,
454,shiyan,CN,,,,,,,
455,hearst,CA,,,,,,,
456,wuxue,CN,,,,,,,
457,nizhniy kuranakh,RU,,,,,,,
458,novaya tavolzhanka,RU,,,,,,,
459,mogadishu,SO,,,,,,,
460,evensk,RU,,,,,,,
461,ostrovnoy,RU,,,,,,,
462,naze,JP,,,,,,,
463,yenagoa,NG,,,,,,,
464,dawlatabad,AF,,,,,,,
465,tchaourou,BJ,,,,,,,
466,whitehorse,CA,,,,,,,
467,lancaster,US,,,,,,,
468,fort-shevchenko,KZ,,,,,,,
469,bumba,CD,,,,,,,
470,fort saint john,,,,,,,,
471,baturaja,ID,,,,,,,
472,lagoa,PT,,,,,,,
473,westerland,DE,,,,,,,
474,moussoro,TD,,,,,,,
475,canico,PT,,,,,,,
476,ulaanbaatar,MN,,,,,,,
477,broken hill,AU,,,,,,,
478,karakendzha,,,,,,,,
479,san rafael,AR,,,,,,,
480,scarborough,GB,,,,,,,
481,miri,MY,,,,,,,
482,vaitupu,,,,,,,,
483,zhengjiatun,CN,,,,,,,
484,fort nelson,CA,,,,,,,
485,victor harbor,AU,,,,,,,
486,nowy dwor gdanski,PL,,,,,,,
487,umzimvubu,,,,,,,,
488,tabas,IR,,,,,,,
489,bakel,SN,,,,,,,
490,hope,US,,,,,,,
491,lucapa,AO,,,,,,,
492,raudeberg,NO,,,,,,,
493,marrakesh,MA,,,,,,,
494,kurilsk,RU,,,,,,,
495,el retorno,CO,,,,,,,
496,santa elena,EC,,,,,,,
497,iwanai,JP,,,,,,,
498,kapoeta,SS,,,,,,,
499,ola,RU,,,,,,,
500,luis correia,BR,,,,,,,
501,cape elizabeth,,,,,,,,
502,kenai,US,,,,,,,
503,scalea,IT,,,,,,,
504,padang,ID,,,,,,,
505,sur,OM,,,,,,,
506,crab hill,,,,,,,,
507,saldanha,ZA,,,,,,,
508,longyearbyen,SJ,,,,,,,
509,krasnoselkup,RU,,,,,,,
510,beyneu,KZ,,,,,,,
511,batticaloa,LK,,,,,,,
512,lakhdenpokhya,RU,,,,,,,
513,pathein,MM,,,,,,,
514,araouane,ML,,,,,,,
515,lichinga,MZ,,,,,,,
516,nguiu,,,,,,,,
517,along,IN,,,,,,,
518,jijiga,ET,,,,,,,
519,campbell river,CA,,,,,,,
520,merke,KZ,,,,,,,
521,payo,ID,,,,,,,
522,matsusaka,JP,,,,,,,
523,yeppoon,AU,,,,,,,
524,puerto narino,CO,,,,,,,
525,kyra,RU,,,,,,,
526,sangar,RU,,,,,,,
527,puerto cabezas,NI,,,,,,,
528,sukhothai,TH,,,,,,,
529,paramonga,PE,,,,,,,
530,villa altagracia,DO,,,,,,,
531,camocim,BR,,,,,,,
532,petropavlovsk-kamchatskiy,RU,,,,,,,
533,ust-kulom,RU,,,,,,,
534,puerto baquerizo moreno,EC,,,,,,,
535,katghora,IN,,,,,,,
536,maniitsoq,GL,,,,,,,
537,kegayli,,,,,,,,
538,birao,CF,,,,,,,
539,mgandu,TZ,,,,,,,
540,usinsk,RU,,,,,,,
541,salo,IT,,,,,,,
542,yorosso,ML,,,,,,,
543,codrington,AU,,,,,,,
544,ponta delgada,PT,,,,,,,
545,saint-augustin,CA,,,,,,,
546,moche,PE,,,,,,,
547,villa carlos paz,AR,,,,,,,
548,orzhytsya,UA,,,,,,,
549,kudahuvadhoo,MV,,,,,,,
550,sept-iles,CA,,,,,,,
551,ginir,ET,,,,,,,
552,coyoles,MX,,,,,,,
553,flinders,AU,,,,,,,
554,claveria,PH,,,,,,,
555,sola,VU,,,,,,,
556,san policarpo,PH,,,,,,,
557,altay,CN,,,,,,,
558,yulara,AU,,,,,,,
559,sistranda,NO,,,,,,,
560,samdari,IN,,,,,,,
561,yarada,IN,,,,,,,
562,tabiauea,,,,,,,,
563,noumea,NC,,,,,,,
564,matamoros,MX,,,,,,,
565,luganville,VU,,,,,,,
566,balakhta,RU,,,,,,,
567,ranfurly,NZ,,,,,,,
568,ust-ishim,RU,,,,,,,
569,oranjestad,AW,,,,,,,
570,honningsvag,NO,,,,,,,
571,healesville,AU,,,,,,,
572,berezovyy,RU,,,,,,,
573,amberley,US,,,,,,,
574,guayaramerin,BO,,,,,,,
575,teguise,ES,,,,,,,
576,quelimane,MZ,,,,,,,
577,znamenskoye,RU,,,,,,,
578,gumdag,TM,,,,,,,
579,vila franca do campo,PT,,,,,,,
580,kashi,CN,,,,,,,
581,iralaya,HN,,,,,,,
582,elizabethtown,US,,,,,,,
583,inta,RU,,,,,,,
584,laem sing,TH,,,,,,,
585,tianpeng,CN,,,,,,,
586,kristiansund,NO,,,,,,,
587,ahualulco,MX,,,,,,,
588,virginia beach,US,,,,,,,
589,sirfa,,,,,,,,
590,swift current,CA,,,,,,,
591,gao,ML,,,,,,,
592,warmbad,NA,,,,,,,
593,bella union,UY,,,,,,,
594,machali,CL,,,,,,,
595,geelong,AU,,,,,,,
596,havelock,US,,,,,,,
597,progreso,MX,,,,,,,
598,tanggu,CN,,,,,,,
599,lata,PT,,,,,,,
600,minnedosa,CA,,,,,,,
601,bengkulu,ID,,,,,,,
602,bartica,GY,,,,,,,
603,cap malheureux,MU,,,,,,,
604,bairiki,KI,,,,,,,
605,kuusamo,FI,,,,,,,
606,wanning,CN,,,,,,,
607,celaya,MX,,,,,,,
608,korop,UA,,,,,,,
609,kracheh,,,,,,,,
